batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
2.0,0,,,0.010352134704589844,0.0,470.0,8939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.09163093566894531,0.0,5.653417587280273,285.26470947265625,,,
,2,0.0,4.875634670257568,,,,,0.05105537921190262,0.025515051558613777,0.0005883799749426544,1.000003457069397,0.050425440073013306,0.05141064152121544,0.05111554637551308,0.05143222585320473,0.05120119825005531,0.05097867175936699,0.051511336117982864,0.05123857408761978,0.051603641360998154,0.05068257078528404,0.05094285309314728,0.051297713071107864,0.05082711577415466,0.0005845158593729138,0.999995768070221,0.05088737607002258,0.025457216426730156,0.0005865308921784163,0.999911904335022,0.05117208883166313,0.0509621798992157,0.05111392214894295,0.05077589675784111,0.05136103928089142,0.051127005368471146,0.05099215731024742,0.050990812480449677,0.0511280782520771,0.05033663287758827,0.0510207936167717,0.050997622311115265,0.05118563026189804,0.000583483197260648,0.9999682307243347,0.9984388947486877,0.0510910265147686,3,,,,,0.0,4.897892951965332,134.0071258544922
,6,0.0,3.375230550765991,,,,,0.05114597827196121,0.025641728192567825,0.0025581063237041235,0.9999034404754639,0.050502751022577286,0.05152970552444458,0.05118448659777641,0.05154784396290779,0.05124225839972496,0.05103198066353798,0.05160865932703018,0.05132279917597771,0.05167976766824722,0.05074162781238556,0.051037415862083435,0.05138549208641052,0.05085368826985359,0.0025576779153198004,0.9999299645423889,0.0509459562599659,0.02556605264544487,0.002644376363605261,1.000070333480835,0.05124548822641373,0.05101471021771431,0.051160797476768494,0.05088525265455246,0.05143210291862488,0.0512002557516098,0.051060792058706284,0.051055725663900375,0.05117029696702957,0.0503871776163578,0.05112842470407486,0.05109609663486481,0.05127260088920593,0.0025667408481240273,0.9997534155845642,0.9983966946601868,0.05107080936431885,7,,,,,0.0,3.4148805141448975,30.413312911987305
,10,0.0,3.056894540786743,,,,,0.05135895684361458,0.025996152311563492,0.0048943012952804565,0.999645471572876,0.050685424357652664,0.0517766997218132,0.051368292421102524,0.05176529288291931,0.05138493701815605,0.051170919090509415,0.05181530490517616,0.05152087286114693,0.051865383982658386,0.05090782791376114,0.051273249089717865,0.05162324756383896,0.05097874626517296,0.004902481101453304,0.9997358322143555,0.05110183358192444,0.02587427757680416,0.005232900846749544,1.000869631767273,0.051411762833595276,0.05117136612534523,0.051312729716300964,0.05107533559203148,0.051559071987867355,0.05134693905711174,0.051211077719926834,0.05123836547136307,0.05131401866674423,0.05051502585411072,0.05139833688735962,0.051349226385354996,0.05144089460372925,0.004798668436706066,0.9994188547134399,0.998292088508606,0.05115872621536255,11,,,,,0.0,3.1330738067626953,22.94439697265625
,14,0.0,2.781804084777832,,,,,0.05159824341535568,0.026405086740851402,0.006486775819212198,0.9994208216667175,0.0508408285677433,0.05197020620107651,0.05152488127350807,0.0519152395427227,0.05156659334897995,0.05134335532784462,0.0519772544503212,0.05168561637401581,0.05202837660908699,0.05106969177722931,0.0514744371175766,0.05184187740087509,0.051101915538311005,0.0064672487787902355,0.9995103478431702,0.05128486081957817,0.02623484842479229,0.007060922682285309,1.0017127990722656,0.05156080424785614,0.05137242376804352,0.05149631202220917,0.0512300543487072,0.05170327425003052,0.05151820555329323,0.05132368206977844,0.051483578979969025,0.05153146758675575,0.05065739527344704,0.05172727629542351,0.05164748430252075,0.0515599250793457,0.006250555627048016,0.9991639852523804,0.9982059001922607,0.05138516426086426,15,,,,,0.0,2.9028844833374023,18.22664451599121
,18,0.0,2.5014142990112305,,,,,0.0518321618437767,0.02677812986075878,0.007246276829391718,0.9991656541824341,0.05093219131231308,0.05204852297902107,0.05158375948667526,0.05197411775588989,0.05179598182439804,0.05155548080801964,0.05211281776428223,0.05176114663481712,0.05211080610752106,0.051179446280002594,0.05153827741742134,0.05193733051419258,0.051164235919713974,0.007389327045530081,0.9992998242378235,0.05145182088017464,0.026565896347165108,0.009017388336360455,1.003432273864746,0.051636334508657455,0.05156382918357849,0.051681097596883774,0.0512872152030468,0.05186278000473976,0.051718052476644516,0.051396049559116364,0.051716435700654984,0.05174899846315384,0.05072067677974701,0.05198264867067337,0.05187536031007767,0.05161627382040024,0.007095457054674625,0.9989359378814697,0.9981495141983032,0.05170755833387375,19,,,,,0.0,2.6500513553619385,14.154766082763672
,22,1.4893616437911987,2.375507354736328,,,,,0.05205991864204407,0.027118729427456856,0.007662979420274496,0.9989989399909973,0.05101575702428818,0.05209096148610115,0.05161057412624359,0.052012160420417786,0.05206535384058952,0.05180131271481514,0.0522477813065052,0.05186912417411804,0.05220520868897438,0.051284343004226685,0.051600467413663864,0.051998935639858246,0.05122356489300728,0.008004375733435154,0.9991533160209656,0.051618438214063644,0.026854656636714935,0.010972728952765465,1.005567193031311,0.051691170781850815,0.0517573356628418,0.051870670169591904,0.05133635923266411,0.05202557146549225,0.051933009177446365,0.05147372931241989,0.05193280801177025,0.05195591598749161,0.05077129229903221,0.05221568048000336,0.05210212618112564,0.05166742205619812,0.007633163593709469,0.9987960457801819,0.9981075525283813,0.05208154022693634,23,,,,,0.4922250807285309,2.538548707962036,12.661282539367676
,26,2.5531914234161377,2.3289427757263184,,,,,0.05225428566336632,0.0274000633507967,0.007980996742844582,0.998918354511261,0.05109236761927605,0.052133649587631226,0.05163968354463577,0.05205604061484337,0.052306629717350006,0.05202456936240196,0.05236642062664032,0.052008580416440964,0.05231520161032677,0.05138489976525307,0.051715102046728134,0.052082937210798264,0.05129034444689751,0.00844793301075697,0.9990658164024353,0.05176737532019615,0.02707834169268608,0.01278577372431755,1.0077762603759766,0.05174221098423004,0.05193091183900833,0.05203541740775108,0.051399435847997665,0.05217123031616211,0.05212919041514397,0.05154741182923317,0.052118927240371704,0.05213702470064163,0.05082621052861214,0.05243384465575218,0.05232696980237961,0.05172989144921303,0.008017783984541893,0.9987133145332336,0.9980779886245728,0.05247071385383606,27,,,,,0.9732632637023926,2.49706768989563,12.146822929382324
,30,2.5531914234161377,2.2953944206237793,,,,,0.05240315943956375,0.027611352503299713,0.008235263638198376,0.9988671541213989,0.051152944564819336,0.052168283611536026,0.051665447652339935,0.05209771916270256,0.05247732624411583,0.052183158695697784,0.05245295166969299,0.05216275155544281,0.052420880645513535,0.051468007266521454,0.05188797414302826,0.05220087245106697,0.051361750811338425,0.008772197179496288,0.9990151524543762,0.05188589543104172,0.02723854035139084,0.014470645226538181,1.009963035583496,0.05178379267454147,0.05206603184342384,0.05215558409690857,0.05145803466439247,0.05229642242193222,0.052298061549663544,0.05159818008542061,0.052249256521463394,0.0522654764354229,0.05086029693484306,0.05260328948497772,0.05251216143369675,0.05178311839699745,0.008314925245940685,0.9986497759819031,0.9980600476264954,0.05285290256142616,31,,,,,0.9508894085884094,2.4722952842712402,11.849614143371582
,34,2.5531914234161377,2.2733099460601807,,,,,0.05251242592930794,0.027764759957790375,0.008422517217695713,0.9988275170326233,0.05120261386036873,0.05219627171754837,0.05168813467025757,0.052134737372398376,0.052594661712646484,0.05228983238339424,0.05251626670360565,0.05233127996325493,0.052549853920936584,0.0515403188765049,0.052094340324401855,0.05233852192759514,0.05144377052783966,0.008999155834317207,0.9989806413650513,0.051974114030599594,0.02735108882188797,0.015973325818777084,1.0120463371276855,0.051818039268255234,0.05218310281634331,0.05225099250674248,0.051513269543647766,0.05240597575902939,0.052442245185375214,0.0516340546309948,0.052340030670166016,0.05235590413212776,0.05087938532233238,0.052725184708833694,0.05265314131975174,0.05182287469506264,0.008535970002412796,0.9986042380332947,0.998052716255188,0.05321462079882622,35,,,,,0.9508894085884094,2.4587340354919434,11.690003395080566
